Unlabeled Text,ID,Section,Beni,Me,Vaibhav,Sodiq,Michael,User 6,User 7 ,User 8,Mode,Agreement,,,Fleiss's Kappa ,
"Excuse me, I would like to discuss the proposed plan to have two stations.",3NPFYT4IZC4EYOL6Q4UY6CEKBUMXG2,10,4,1,4,,,,,,4,-0.3333333333,3,,,
Can we speak of the two stations in private later?,3OE22WJIGIODU9LPOVONGJJINZBQUV,10,1,1,2,,,,,,1,0.3333333333,3,,,
His the C.O. of the operation. I will drop the issue. I will look after for the safety of my team.,3PJUZCGDJ6G94DXQ4QCWYWB4G8L98I,10,e,e,e,,,,,,#N/A,-0.5,3,,,
"Thank you for your planning given the mixup we've had, I do have a couple of concerns I like to address involving the aid stations. Could we talk in private when you have a few moments please?",3QL2OFSM96IW5IRXMCB6IJ27BOFNCT,10,2,2,2,,,,,,2,1,3,,,
I would like to talk to you privately; I have some concerns with some parts of the plan.,3QL2OFSM96IW5IRXMCB6IJ27BOLCNO,10,2,2,2,,,,,,2,1,3,,,
Can I talk to you later regarding the two aid stations? I have some concerns I would like to address.,3R2UR8A0IAG2Q124EN76BLNM2GGXOS,10,2,2,2,,,,,,2,1,3,,,
You're the commander. I don't have any questions about the plan.,3R3YRB5GRF3L7TE8ZZR1QJ4DJHMUAP,10,3,3,3,,,,,,3,-0.5,3,,,
Could I please 10 minutes of your time later so I could have yu  explain a couple things to me.,3SKEMFQBZ35TL9GH8N3LO5PKR2RK8H,10,e,1,1,,,,,,1,0.1666666667,3,,,
May we have a meeting to discuss the details of this later?,3SUWZRL0MYD3VV5JJMVK6WGO1A36EV,10,1,1,2,,,,,,1,0.3333333333,3,,,
I would like to discuss the aid stations. i would propose we only have one aid station. It would make things run more smoothly.,3SUWZRL0MYD3VV5JJMVK6WGO1AAE6A,10,4,2,4,,,,,,4,-0.3333333333,3,,,
"I will talk with the Chinese captain now because the fate of my soldiers is my first priority. Therefore, I will let the Chinese captain know immediately that two aid stations is not feasible for the safety of my soldiers.",3SUWZRL0MYD3VV5JJMVK6WGO1ACE6C,10,e,e,e,,,,,,#N/A,-0.5,3,,,
I need to talk to you in private later to discuss my misgivings and reluctance for us needing to implement two aid stations.,3TVRFO09GKFUKGZ71VREJ4JS7BALXY,10,2,2,2,,,,,,2,1,3,,,
"This plan for the construction of two aid stations is fine, I don't have any further questions.",3VA45EW49NNU00HB7UMZGCJLX1T1OW,10,3,3,3,,,,,,3,-0.5,3,,,
"Hey listen, I heard you had a different plan. Tell what it is please.",3VD82FOHKQOEN3R9NRBJX82C1YNOCC,10,4,e,4,,,,,,4,-0.5,3,,,
I understand that you want to help but I'm concerned about your plan to have two aid stations. I don't feel there's a need to have two.,3VHP9MDGRNKKHQEGOOSTAETY9X4CFM,10,4,4,4,,,,,,4,-0.5,3,,,
I would ask him to talk about my problems regarding the plan now.,3X0H8UUIT1O2ZTP7BZSTT7JGQ3GWSY,10,e,e,e,,,,,,#N/A,-0.5,3,,,
Can we chat a bit now about our different plans?,3XUHV3NRVKYJW1W744TLZTZ1XVTH5F,10,4,2,4,,,,,,4,-0.3333333333,3,,,
"I would approach him quickly and explain how we need to discuss this immediatly.  I would explain to him the negatives involved with having two aid stations, and then offer the positives of having just one.  After that, I would give him a chance to speak about what he feels are the positives of having two, and I would do my best to be fair in weighing the choices.  If I felt that one aid station was still the best choice, I would be firm about it.",3Y9N9SS8LYBZ66414PM2TBMJR713DU,10,e,e,e,,,,,,#N/A,-0.5,3,,,
"With all due respect, Captain, if I can have two minutes of your time in regards to a concern I have. We might run into issues in setting up two aid stations as it may disrupt the flow of our mission.",3YDTZAI2WXGQW77TOA7Q2EDGGA4410,10,4,2,1,,,,,,#N/A,-0.1666666667,3,,,
"Sir, I have some concerns about setting up two aid stations.  Can we discuss those, and what I feel is a good alternative?",3Z2R0DQ0JHEFDUMIWKJHGJZCL5C2EL,10,4,2,4,,,,,,4,-0.3333333333,3,,,
We're almost out of time right now so we can discuss this in private later.,31IBVUNM9SZGGZKGF5NY06HNU49VFT,11,,1,,e,,,,,#N/A,-0.3333333333,2,,,
There is not much tome. Can you please converse.,31T4R4OBOSG72XZA65UHMMGHB9C7C4,11,2,2,,1,,,,,2,0.3333333333,3,,,
Give me just a minute to wrap up this meeting and we'll meet then.,32SVAV9L3F918Z1PKFV03AED6463AU,11,,1,,e,,,,,#N/A,-0.3333333333,2,,,
Sir I think that it would be better to discuss this now cause we are under a time crunch,34Q075JO1XD9XJPS59KOQBN3ZYK01C,11,1,2,,1,,,,,1,0.3333333333,3,,,
"Thank your meeting me commander, I would really appreciate your time right now then later in private as the mission just about to start.",37M28K1J0QDCTD3EN0NNJHV221SAJD,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"i am from the future, and your plan will have sn immense impact",37ZHEEHM6WMJPX3RDCJGTJCN5W837B,11,e,e,,e,,,,,#N/A,-0.5,3,,,
Can we just talk here? Because were running out of time.,39L1G8WVWQR5EBOPOW27S9LA2A5139,11,,2,,2,,,,,2,0.1666666667,2,,,
I apologize as I have no more time today as we have begun implementing our mission.,3A1COHJ8NJV2JJF9220OBD9SZLV8H9,11,,2,,3,,,,,#N/A,-0.3333333333,2,,,
I need to talk to you right now; the mission is starting soon and we are almost out of time. There are some issues with the plan that we need to address now.,3A7Y0R2P2OOOPQB7YAF13P603MXJXM,11,,2,,2,,,,,2,0.1666666667,2,,,
Musttalknow,3BQU611VFPK9IIG09IIAYS6F0E5999,11,,e,,e,,,,,#N/A,-0.5,2,,,
I don't think meeting in private later will be necessary especially since time is so limited so if you have a few quick minutes now it won't take long.,3DHE4R9OCWBDX8I92F95GMKOYLIG27,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
we can talk now it should not take long,3DIP6YHAPCSQZ9O7C1SIQACF7518ER,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"My apologies sir, but I just need clarification for myself as well as my team. Its just to make sure we are all on the same page and the mission runs smoothly and is a success. (Then proceed with my first question)",3DY4FPOOA1ODJPPP60NSHVV6XSUVRY,11,,1,,3,,,,,#N/A,-0.3333333333,2,,,
What I need to say doesn't need to be in private. We need to quickly talk now cause we gotta go.,3F1567XTNW5FAHXMQKTWKNW4AEZ9QL,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
We don't have time. Let me now.,3F6HPJW4JD09UU89HKDN2P6CS9FW2T,11,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"I'll only take a minute of your time, if you would be willing to listen now.",3GNA64GUZE4W9UVANUGF87R2OIJQ5E,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"With all due respect, sir, I feel this is important to discuss now, before the mission starts.",3GS6S824SQX5JGX233B7UD9A347NWC,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
I will meet you in private later.,3H0W84IWBK2WHE33BAYIHR7KXXIREF,11,,1,,3,,,,,#N/A,-0.3333333333,2,,,
"Sir, the meeting will not take long. Please, lets discuss now.",3HSYG7LRBJYDGAIIHC0OEAYBM2RKK6,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
I would like your team to hand out water and pack supplies today because we really need the help..,3I02618YA06SUXKAOI9YGET8I3PUP8,11,,e,,e,,,,,#N/A,-0.5,2,,,
Please have a brief meeting to solve th,3IAEQB9FMEKWX46PE9X4Y8XGP01DWG,11,,1,,2,,,,,#N/A,-0.1666666667,2,,,
I think we need to talk about this now. The mission is going to start soon and if we wait until later it is going to be too late. The meeting will not take very long.,3J4Q2Z4UTY3QMDAUJV3OY74F8FJWQX,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"This is very urgent, is it possible to just discuss this right here?",3JBT3HLQF829GWEKU586X68NKL8ZP6,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"As we're both short on time, I would rather have a brief meeting now so we can clarify the plan and move forward.",3JPSL1DZ5SZ8C3UZ2YFFCOCJBLUANE,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"Sir, whatever you want to say, you can say it here.",3KOPY89HM82C9S4TEL8DW9HWWRY3J8,11,,2,,e,,,,,#N/A,-0.3333333333,2,,,
"I would like to address these questions before I begin the mission, as my understanding is pertinent to its success.",3KWTYT08703LIXFXVP8JRLS8EC45LC,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
I really don't have time for a private meeting couldn't we just discuss this now?,3KYQYYSHYV7OSVXNNN6UHEKUMY1DO3,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"Commander, I find some issues with your plan and would like to discuss them as soon as possible before this mission.",3LBXNTKX0RVZJEYYCYOOEVSX7HPX99,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
I'm sorry but this is rather urgent. Could we speak shortly right now? It won't take long.,3MTMREQS4VIYZX3DUZ6287PA4X8WA1,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"I ensure you this will only take a few moments, timing is imperative with us.",3N2BF7Y2VQUH48HDW3A7GVANJQ9MH0,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
I am running short in time and i don't understand why it is necessary to discuss this in private later.I believe the meeting won't take long,3NXNZ5RS1AX54ZS7ULKQKWF95OD79R,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"Since our time is limited, let's discuss the alternative plan now to ensure that our soldiers' missions are successful. It will only take a couple of minutes to make changes to this plan.",3OB0CAO74HPHYP6RF6YIAQXUS0WYHB,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"I would just ask him directly if he can't meet in private, rather than being confused",3OLF68YTN91WOBHI4AW24J3A9UIFAM,11,,e,,e,,,,,#N/A,-0.5,2,,,
"With all due respect, I really don't have the time for a private conference.  The mission will start soon.  Can you just hear me about right now?  I won't take up much of your time.",3OLQQLKKNSPFJQKQ35P9F0LTNGVEJH,11,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"With all due respect, Sir, I won't take up much of your time and feel it is important to the mission that we discuss this matter to avoid any misunderstanding in executing this mission properly.",3ON104KXQKWJX8NWLYWBV43ACNCW4Q,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"Good to go, Sir.",3PS7W85Z8Z2S2XPE7ONRPS7RUL69T7,11,,1,,e,,,,,#N/A,-0.3333333333,2,,,
We need to discuss things now so we can be on the same page.,3R8YZBNQ9HIBWY9TBNVC6R5YFOH7QD,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
Is there any way we can have our discussion now because I feel time is of the essence.,3R9WASFE2ZGXPJPQG2C1LCUJIFMFZK,11,,2,,2,,,,,2,0.1666666667,2,,,
"Please tell me quickly, now.",3S96KQ6I9M445N2VJ4STBOQHL6FDTM,11,,2,,e,,,,,#N/A,-0.3333333333,2,,,
"If you could just give me a minute, I'm sure we could straighten this out.",3TOK3KHVJTI8BMWDWA38HMAY0N2O7P,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"Sir, this won't take long and is important to discuss immediately.",3VD82FOHKQOEN3R9NRBJX82C1YKCOX,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
Time is of the essence commander. We need to get this cleared up immediately.,3VP0C6EFSGW17JXW0KJ3J4LXACZM65,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"sir, could we please discuss this briefly now. it won't take long.",3VW04L3ZLT6PKAGWFEU2UYEFEKFXXR,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"Sir, I only have a quick question. I'm not sure there's enough time to have a private discussion later.",3W2LOLRXLBFZ3EVD7W9LFMKPHUCRKX,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"I would need to discuss something that is of upmost importance, it will only take a few minutes, we can do this right here.",3X0H8UUIT1O2ZTP7BZSTT7JGQ3CSWQ,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
"If you are running short on time, and you are just a soldier who wants to talk to the commander.  The commander want to talk to you in private is already give you respect. He is trying to save your face.",3X87C8JFV6BXFWTLZQTN1I1U22UQSJ,11,,e,,e,,,,,#N/A,-0.5,2,,,
"Captain, we have limited time.  To implement the plan we need to resolve some details, and we are almost out of time. We need to speak immediately, unless there is some problem, and if so I need to know immediately. Can I continue?",3Y5140Z9DXGNL6PAU1KKXB5XO86PIZ,11,,2,,2,,,,,2,0.1666666667,2,,,
Is it possible to talk right now because time is running low and we need to be the more effective possible before starting,3YDTZAI2WXGQW77TOA7Q2EDGGA341Z,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
The mission starts soon but a private meeting won't take long. We need to be on the same page to make this a successful mission.,3YGXWBAF70HAJAHR47WAJAW7K7OC4R,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
I'm sorry Commander but I don't believe we have the time for a later discussion. We're running short on time and as you know this is of the utmost importance. If you could please spare a few minutes now I assure you my concerns won't take long and we can get on with our task.,3ZR9AIQJUB9QPIMBSR3QO9U6BIN40M,11,,2,,1,,,,,#N/A,-0.1666666667,2,,,
Why does this require two stations?,3137ONMDKG55SOUPVZ46INTDVO8GE9,12,2,2,,3,,,,,2,0.1666666667,3,,,
"SIr, may I ask you why you would like to split up our resources and set up two aid stations as opposed to focusing all our efforts on a single aid station?",326O153BMIY2G4KYT93YC2QGIWTDEX,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
I would like to discuss with you the need of setting up two aid stations.,33LK57MYLT56TOUCMMC0SBDY75ESZE,12,,2,,2,,,,,2,0.1666666667,2,,,
"Sir, I understand that you have requested two aid stations. However, I feel that the additional station will be using resources that would be better suited elsewhere. Please reconsider and allow us to discuss other alternatives.",33LKR6A5KEKADSMJ3B8YAMP8W9A1TI,12,,2,,2,,,,,2,0.1666666667,2,,,
"I understand your alternative plan, but I have some serious concerns about why you are setting up two aid stations, can you please explain to me in more detail how this will help?",33M4IA01QG15NEUK6FOA5GSRD3TXRU,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"Sir, I have some questions about your plan - why do you want to set up two aid stations?",345LHZDEDXSLN8FNQKCR3BQ7D7W3U4,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Why would you split the aid stations when there is a better solution?,34Q075JO1XD9XJPS59KOQBN3ZYJ10C,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Would it be possible to elaborate a little more on your plan? Particularly the need for two aid stations?,352YTHGROVD10IS7QZABU1TNXZP4HO,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Why does your plan call for setting up two aid stations?,3KXIR214I4GXLSPP7E747XNL8G7244,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
I'm not sure we need 2 aid stations.  Can you explain why that would be more beneficial?,358010RM5ETXGLB1FZTK6DHUY9DVXS,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Commander - I am excited to work with you to develop a plan that will benefit both the US and China.  I am curious of the need for two aid stations.  What is your reasoning with suggesting two aid stations?  Do you have data that supports this decision?  Would you be willing to share it?,358UUM7WRZ3B8ZOTO2KCBHF3BAFR7U,12,,1,,3,,,,,#N/A,-0.3333333333,2,,,
"We typically don't have two aid stations, is there something about this mission that one station could not handle alone?",35BLDD71I6XMLGBGGHH53YX5695VZJ,12,,2,,2,,,,,2,0.1666666667,2,,,
What is the rationale for constructing two aid stations when one appears to be adequate?,369J354OFDA1F91APHL86Z10EQI6GC,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"Captain, can you show me some detail on the need or urgency toward the idea of two aid stations.",37UEWGM5HT8XXD9RZM33A7OQ8OJR11,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
What is the purpose of setting up two aid stations?,37UQDCYH6XV3165AXMPMCE46WGZV7Y,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Why do you plan to set up two aid stations?,39N5ACM9HENUA5W7Q7E7KI6U5ID9PU,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"Commander, your plan calls for setting up two aid stations. Why is that?",3AAJC4I4FGSDULBMZS3M0AMBBMVJZJ,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"You've obviously put a lot of time and effort into your planning sir. I do have one question however, why do you feel setting up 2 aid stations is necessary for this situation?",3AMYWKA6YBMP7MI8D0YGB8A25C9O6H,12,,1,,1,,,,,1,0.1666666667,2,,,
"Thank you for joining me commander, now that you are here can i know the reason behind having two aid stations as i have my doubts to that plan.",3BGYGHDBBXKNIEA230OGEIQNO2E22B,12,,1,,1,,,,,1,0.1666666667,2,,,
Could you explain the benefits of having two aid stations to me.,3D4CH1LGEATOXS38NOOKQ9S24RVG92,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
I would suggest that we work unified under one roof so that the Chinese and Americans could collaborate. It would be more effective for everyone without splitting up supplies.,3EF8EXOTT1VGZPQERHUU8G2ZY7LJ1X,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
I was wondering how 2 aid stations will be better then one,3EFE17QCRC5K23UIG06TS49TBFXSHO,12,,2,,2,,,,,2,0.1666666667,2,,,
Tell me why you're setting up two aid stations.,3EFVCAY5L39YAPAZQ239NQP7CDP8J4,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
I'm wondering what benefits you foresee in setting up two separate aid stations?,3EQHHY4HQSS5W51WKYB3ETN0IVAG59,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Why does the plan requires for two aid stations for the soldiers?,3ERMJ6L4DYSKBJB1JUOVPILT5NN7MT,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"Hello Commander, I have reviewed your alternative plan and there's few issues we need to discuss. First, why does your plan include setting up two aid stations?",3HL8HNGX451IJS7DC4I28OSQ3CR9FS,12,,1,,3,,,,,#N/A,-0.3333333333,2,,,
I am concerned about having two aid stations when we only need one. Please give me your thoughts.,3IO1LGZLK9XMMUVS6J9KEMK2Q7A681,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Can you explain why there is a need to implement two separate aid stations?,3IOEN3P9S7J4BUB77Y05ZCXUC10168,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Why does your plan call for setting up two aid stations?,3KXIR214I4GXLSPP7E747XNL8G7244,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Why does your plan call for setting up two aid station?,3LUY3GC63Z0QWM8EBAGN6MFOASOP7X,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"I have a question about your proposed plan. Can you explain the need for two aid stations, to help me understand your proposal better?",3M23Y66PO2745EA1KHFPVDK321L6S5,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
What do you think would be the best way to set up two stations?,3MMN5BL1WZ42A0AEHIL5C19D0LTM3V,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Why did you set that in in two seperate sections?,3ND9UOO81K2FVGUHRQVSHL5LY9YWLA,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"Commander, I find some fault in the plan you are proposing. Please explain why it would be more beneficial to set up two aid stations. Thank you.",3P4MQ7TPPXCBU4AU5MA2G4WVCE4BBO,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"Commander, please help me understand why your plan calls for setting up two aid stations? I would like to have a better understanding for the need.",3PB5A5BD0V6KJ9FF8RQ0CD1W919G7S,12,,2,,2,,,,,2,0.1666666667,2,,,
I need you to explain to me how your plan of having two aid stations is going to be more effective and productive.,3Q5C1WP23M18SQBT2FQ076JUG6V512,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Why is it so important to put up two aid stations?  One should be enough.  Are you expecting something to go wrong somewhere?,3RWE2M8QWHACBQWHAWIMNI062ZNN05,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"Two stations are better to be accountable, so American could not blame the Chinese, the Chinese could not blame the American. Best way, yes they could still help each other out.",3RXCAC0YIRPOJNKYIWI6QDXRKLEG8E,12,,2,,e,,,,,#N/A,-0.3333333333,2,,,
"sir, why are you proposing 2 aid stations?",3SB5N7Y3O3461YFVNS5RXYR91NZG0O,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Why do we need two aid stations when we can just set up one large aid station?,3TE3O8573084MYRNIQ3HFQYV0US2RO,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"Commander, why are you planning on setting up two aid stations?",3TXD01ZLD4H654YRQYHADGIDR7R4UP,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Half of my team will be at the station 1 and the other half at station 2. (inform my team to watch their six always),3TXD01ZLD4H654YRQYHADGIDR7ZU4N,12,,2,,e,,,,,#N/A,-0.3333333333,2,,,
I am confused about the need for setting up two aid stations.,3TY7ZAOG5FKB3KBEDJQ6VQJ284CK0R,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
I would like to know why we need two aid stations for this mission?,3U5JL4WY5K9YM8SMV3SXXNHHLP7X49,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Thank you for meeting with me. Could you explain how having two stations would be better?,3U8YCDAGXPGXEN99QOA3RCVB7AAQ0V,12,,1,,2,,,,,#N/A,-0.1666666667,2,,,
"Sir, what is the benefit of two aid stations? I'd like to hear more about your proposed plan.",3VSOLARPKB9N3GRKS9H07F3T0MT39K,12,,2,,2,,,,,2,0.1666666667,2,,,
Why does your plan call for a two aid stations setting?,3WI0P0II61SRP8P3FFNYB9PZXLLRDQ,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"Hi, I thought we agreed to set up one station. Now I hear you want two. What's that about? How is that going to help the situation?",3Z4GS9HPNVA1QG4EFOM660O3AYN77D,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
Why have you chosen to have two aid stations?,3ZGVPD4G6TH78O7RBMHQ2G9K9OVZTD,12,,2,,3,,,,,#N/A,-0.3333333333,2,,,
"Hey listen, I think having to divide up supplies between two stations is a bad idea. Why do you want to do that?",39KFRKBFINVRQ6SEJJT8UZUV4M5YOU,13,2,2,,3,,,,,2,0.1666666667,3,,,
CAN YOU EXPAIN WHAT BENEFITS TWO STATIONS HAVE OVER ONE?,32UTUBMZ7GWQ3I80A312HGQ2F6QBV0,13,1,1,,1,,,,,1,1,3,,,
We don't need to have two aid stations; it will be more efficient to have one large aid station.,3TGOYF991XM5M2S6548SQKG7QKFUU2,13,2,2,,3,,,,,2,0.1666666667,3,,,
Please explain why you are splitting up the supplies.,3FFJ6VRIL1OKXPLQDG5UIA4PG0XI0O,13,1,1,,3,,,,,1,0.1666666667,3,,,
"sir, could you please explain the advantages you believe would result from having 2 separate aid stations?",3MTMREQS4VIYZX3DUZ6287PA4X1AW8,13,1,1,,1,,,,,1,1,3,,,
Let's create the most efficient use of hte stations.,3GD6L00D3SX60XWZUE7MO8UG21FM13,13,2,2,,e,,,,,2,0.1666666667,3,,,
"How would it benefit us to split supplies up across two different stations? I believe it would be best to set up a single, American station for refugees to recieve ample aid.",3W8CV64QJ2Z2XOYJ7U62B943JR49HQ,13,1,1,,2,,,,,1,0.3333333333,3,,,
we are here for 1 thing aid the refugees the best we know how.,3RYC5T2D73T0E5STKOETB36OB4OPR2,13,?,e,,3,,,,,#N/A,-0.5,3,,,
This isn't beneficial because refugees will have to run all over to get what they need.,3E1QT0TDFP92FEQT8KI9BPA7ZY08IS,13,2,2,,3,,,,,2,0.1666666667,3,,,
"I do understand your plan commander, but doing so will create more confusion and chaos among the refuges and that's not why we are here, so I believe in creating a single supplies tent which will be handled by american soldiers as they are more trained and expert in Medical help.",3TAYZSBPLL8GNDR0XF3M503RMWCS23,13,2,2,,3,,,,,2,0.1666666667,3,,,
"Sir, I understand your view but my opinion would be that splitting up our resources would mean less for our refugees. If one camp runs out we would have to take from the other.",33C7UALJVLYRF8UV0DX3JQTLIWY819,13,2,2,,3,,,,,2,0.1666666667,3,,,
"Captain, i would like to discuss this more in detail. We don't have the resources to make this split and be effective. Can we work this further?",3H7Z272LX77PB7XGF4HXPRXP5C0LP9,13,1,2,,2,,,,,2,0.3333333333,3,,,
How is your plan to split up the supplies at two aid stations superior to mine which consolidates the supplies for the refugees at one aid station with the American medics?,3X4JMASXCM9AAH7K76DDWN0CLA40BO,13,1,1,,3,,,,,1,0.1666666667,3,,,
Just leave really.,3L0KT67Y8EG6OYK7Q0AHE44W1B8YSR,13,e,e,,e,,,,,#N/A,-0.5,3,,,
"I would hear him out.  I would ask him what the benifits are to his method and weigh them against what I thought of the benifits of mine are.  I would then analyze if there was a possible compromise in order to make this a more successful opperation.  My choices wouldn't be for what makes me or even my country look the better, it would be based on what I felt would help the refugees the most.",3MHW492WW0DMM9CX1SRBVW1WR5LVM0,13,e,e,,e,,,,,#N/A,-0.5,3,,,
"Could you be more specific as to why your proposed two stations would be more beneficial, as opposed to one station with all support available in one place for the refugees?",3ZWFC4W1UU7ONS3Z6LIOZ9SK9YXRFX,13,1,1,,1,,,,,1,1,3,,,
I believe if we combine our units and form one large aid station we will better serve Chinese and American's alike.,37C0GNLMHF3Y3PRJNRK00EY31YC6DC,13,2,2,,2,,,,,2,1,3,,,
I am concerned that splitting up the aid stations will not allow us to give aid properly. Many people will not be able to get all their aid at one station if we split up. Lets work together at one station to better serve the people.,3TPWUS5F891MSC0BED2TE2FY40RCWH,13,2,2,,2,,,,,2,1,3,,,
Your plan will make it more difficult and complicated for everyone.  If you can,3Y9N9SS8LYBZ66414PM2TBMJR71D34,13,e,2,,3,,,,,#N/A,-0.3333333333,3,,,
We need to discuss some concerns I have about splitting up the supplies into two separate aid stations to help refugees. Explain to me the benefit of this because I'm having a hard time understanding how having two aid stations with different supplies at each station will make things easier for the refugees.,3ZDAD0O1T1DI3T7CA4T55VT91OQXT7,13,1,1,,2,,,,,1,0.3333333333,3,,,
"Yes, you should ask how his plan is better and try out both. Two aid stations are better and you just need to divide everything into two, more accountable, not as crowded or confused.",3180JW2OT4CFN7RXS4W6B6FGANT5J4,13,e,e,,e,,,,,#N/A,-0.5,3,,,
Could we have one aid station that is staffed with both American and Chinese troops working as intercultural team pairs?,3MYYFCXHJ37N0MXW6TST91HMIZFG44,13,2,2,,3,,,,,2,0.1666666667,3,,,
"SIr, I feel that these refugees have already been through quite a lot and I don't feel that making them have to go to two separate stations to get all the supplies that they need is fair to them or necessary for us both to do. Why are you opposed to us teaming up and setting up one large aid station where these refugees can get everything they need in one place?",39O5D9O87TSP1EYN4TRR954167R3CW,13,1,2,,2,,,,,2,0.3333333333,3,,,
"I think it might be better for the men to have access to all the supplies in one place, what do you think?",30ZX6P7VF8VNOA8AALU8DZC4QDX2JV,13,2,2,,2,,,,,2,1,3,,,
In my opinion it would be much more effective to condense the the aid distribution to only have one distribution station and not split up the supplies. I fail to see how having two sites would be more effective.,32Z9ZLUT1LK54B2P9JPK8ZZSEQVHOH,13,2,2,,3,,,,,2,0.1666666667,3,,,
I really don't like the idea of splitting up the supplies as it would be harder for refugees to get all they need at once.,3B2X28YI3WF5OSTZ9VTU5OA3YDVB65,13,2,2,,3,,,,,2,0.1666666667,3,,,
There needs to be a system set up for equal split of supplies,3I3WADAZ9Q4TOIIU8HOBJ2W29HZ5OJ,13,2,2,,3,,,,,2,0.1666666667,3,,,
I think we should concentrate the supplies all in one place so we can be more effective instead of dispersing the supplies in 2 places.,3AWETUDC92SHZARGHAIMO97BY7HIZH,13,2,2,,3,,,,,2,0.1666666667,3,,,
"I wouldn't directly say that the Chinese had a bad plan. I would explain that we need all of the supplies and people put together. As I mentioned in a previous HIT, Chinese could take on smaller injuries and the larger ones the US could have so no one is singled out.",3O6CYIULED1IE6HB04NT8814B0RWU4,13,e,e,,e,,,,,#N/A,-0.5,3,,,
I think that as long as the stations are being set up and supplies are being handed out it doesn't matter if there's 1 station or 2.,3TXWC2NHNZQRNXCZIOI1FNB5S2U9SK,13,2,e,,e,,,,,#N/A,-0.3333333333,3,,,
"Sir, I appreciate your idea of having two aid stations, but would it not benefit both sides if there were one large station with American medics? This will allow both of our sides to have one central location of supplies, and the Chinese medics will be assisting  and helping the refugees alongside the Americans.",3COPXFW7XBCER1FYU45WARKAGCOPK3,13,1,2,,2,,,,,2,0.3333333333,3,,,
