id,turk_response_text,prompt_type,assignment,identifier,comment
3108,"He will not be able to make it today, he, unfortunately, was just assigned another mission. ",rewrite,3NL0RFNU0FNS28TFWKD87T9FEON4KRb,3b,
3109,He is unavailable today.,rewrite,3NL0RFNU0FNS28TFWKD87T9FEON4KRc,3c,
3110,I'm not able to say.,rewrite,3KV0LJBBH2LUT2VGS8M1UZCTV87RM9a,3a,
3111,"I'm sorry, he was assigned another mission at the last minute.",rewrite,3KV0LJBBH2LUT2VGS8M1UZCTV87RM9b,3b,
3112,He is unable to make it today.,rewrite,3KV0LJBBH2LUT2VGS8M1UZCTV87RM9c,3c,
3113,I can't really say.,rewrite,3IXEICO792J5KENG9HKF5IGPTTR6TTa,3a,
3114,He had something else he had to do and can't be here today.,rewrite,3IXEICO792J5KENG9HKF5IGPTTR6TTb,3b,
3115,He had something else important to do today.,rewrite,3IXEICO792J5KENG9HKF5IGPTTR6TTc,3c,
3116,I respect the privacy of my senior officer and not continue to speak in behalf of him.,rewrite,3MTMREQS4VIYZX3DUZ6287PAT6FWAFa,3a,
3117,"He was assigned to another mission, but has trusted me to speak in behalf of him.",rewrite,3MTMREQS4VIYZX3DUZ6287PAT6FWAFb,3b,
3118,He is busy with other things right now.,rewrite,3MTMREQS4VIYZX3DUZ6287PAT6FWAFc,3c,
3119,I don't want to divulge that information.,rewrite,3ZGVPD4G6TH78O7RBMHQ2G9KYWKZT7a,3a,
3120,"He was assigned to another mission at the last minute, and unfortunately won't be able to make it today.",rewrite,3ZGVPD4G6TH78O7RBMHQ2G9KYWKZT7b,3b,
3121,He is booked up today.,rewrite,3ZGVPD4G6TH78O7RBMHQ2G9KYWKZT7c,3c,
3122,I won't tell,rewrite,3MYYFCXHJ37N0MXW6TST91HM77ZG4Ta,3a,
3123,Sorry but the job will not be complete,rewrite,3MYYFCXHJ37N0MXW6TST91HM77ZG4Tb,3b,
3124,He can't today,rewrite,3MYYFCXHJ37N0MXW6TST91HM77ZG4Tc,3c,
3125,I would prefer to not speak on it. ,rewrite,3U5JL4WY5K9YM8SMV3SXXNHHAYPX4Ya,3a,
3126,Due to last minute assignment changes he will not be able to make it today.,rewrite,3U5JL4WY5K9YM8SMV3SXXNHHAYPX4Yb,3b,
3127,Today he will not be available.,rewrite,3U5JL4WY5K9YM8SMV3SXXNHHAYPX4Yc,3c,
3128,I would prefer not to speak at this time.,rewrite,32EYX73OY09D6A0P1ADNL9TN8TLRUAa,3a,
3129,He was detained without notice therefore he will not be here today.,rewrite,32EYX73OY09D6A0P1ADNL9TN8TLRUAb,3b,
3130,His schedule is completly booked up today.,rewrite,32EYX73OY09D6A0P1ADNL9TN8TLRUAc,3c,
3131,I'm not able to give you that info,rewrite,34J10VATJFY8LIQPUEZ9XGV7ICYQI2a,3a,
3132,"Basically, he is doing another duty and won’t be in today.",rewrite,34J10VATJFY8LIQPUEZ9XGV7ICYQI2b,3b,
3133,He's occupied today,rewrite,34J10VATJFY8LIQPUEZ9XGV7ICYQI2c,3c,
3134,i apologize but i am not at liberty to say.,rewrite,3MRNMEIQW56GMAUQAVQ2PXG0G28LDDa,3a,
3135,"I am sorry, but he was given a last minute assignment that he had to report to immediately.",rewrite,3MRNMEIQW56GMAUQAVQ2PXG0G28LDDb,3b,
3136,"Unfortunately, he had a unexpected matter to attend to.",rewrite,3MRNMEIQW56GMAUQAVQ2PXG0G28LDDc,3c,
3137,I would prefer not to disclose that information.,rewrite,3ZGVPD4G6TH78O7RBMHQ2G9KYWEZT1a,3a,
3138,"Apologies, he received an unexpected assignment and won't be able to be here today. ",rewrite,3ZGVPD4G6TH78O7RBMHQ2G9KYWEZT1b,3b,
3139,He had other priorities to attend to today.,rewrite,3ZGVPD4G6TH78O7RBMHQ2G9KYWEZT1c,3c,
3140,I cannot share that information right now.,rewrite,3S06PH7KSR43W3QMHL8J5I7MIV41DMa,3a,
3141,He was assigned another mission at the last minute and won't be here today.,rewrite,3S06PH7KSR43W3QMHL8J5I7MIV41DMb,3b,
3142,He is unavailable to meet today.,rewrite,3S06PH7KSR43W3QMHL8J5I7MIV41DMc,3c,
3143,"I apologize for the inconvenience, he was called away.",rewrite,3TR2532VIPUB6BRBXN6B3CTGVQ9J68a,3a,
3144,He had a another mission that he was obligated to and won't be here today.,rewrite,3TR2532VIPUB6BRBXN6B3CTGVQ9J68b,3b,
3145,He is working at another location and can't be reached.,rewrite,3TR2532VIPUB6BRBXN6B3CTGVQ9J68c,3c,
3146,"I'm sorry, but I can't say.",rewrite,3DH6GAKTYYP3PA6LLS4PAX1ZDYEZY8a,3a,
3147,"He had a last minute assignment and, therefore, can't make it.",rewrite,3DH6GAKTYYP3PA6LLS4PAX1ZDYEZY8b,3b,
3148,He has other things to attend to.,rewrite,3DH6GAKTYYP3PA6LLS4PAX1ZDYEZY8c,3c,
3149,I prefer not to say.,rewrite,31LM9EDVOLSJDWX3W4SS5NF2QGIJN2a,3a,
3150,"Regretfully, at the last minute he was assigned another duty and is unable to attend today.",rewrite,31LM9EDVOLSJDWX3W4SS5NF2QGIJN2b,3b,
3151,He is occupied,rewrite,31LM9EDVOLSJDWX3W4SS5NF2QGIJN2c,3c,
3152,I would prefer not to answer.,rewrite,3RRCEFRB7MCR95PLQ70F8QQPRU4B44a,3a,
3153,"Regrettably, right before we were leaving, he got a different mission, and could not come today. ",rewrite,3RRCEFRB7MCR95PLQ70F8QQPRU4B44b,3b,
3154,He is otherwise occupied today.,rewrite,3RRCEFRB7MCR95PLQ70F8QQPRU4B44c,3c,
3155,I prefer to pass on that. ,rewrite,3XIQGXAUMC8V5VA5X1Q40Z1R108X7Ba,3a,
3156,"He was engaged with another mission at the last minute therefore, he will not be here today.",rewrite,3XIQGXAUMC8V5VA5X1Q40Z1R108X7Bb,3b,
3157,His plate is full today.,rewrite,3XIQGXAUMC8V5VA5X1Q40Z1R108X7Bc,3c,
3158,I really can't talk about it.,rewrite,3Y54SXRO1LLQMPDH5ZIILOU5WFGTUPa,3a,
3159,He is otherwise occupied and won't be able to make it.,rewrite,3Y54SXRO1LLQMPDH5ZIILOU5WFGTUPb,3b,
3160,He's unavailable today.,rewrite,3Y54SXRO1LLQMPDH5ZIILOU5WFGTUPc,3c,
3161,I don't feel it is in my place to share this information with you.,rewrite,3VELCLL3GKJ0UN4I8R39TIA7U9HF1Aa,3a,
3162,Out of the blue came a mission that he couldn't opt out of and had no choice but to focus on that instead of this meeting today.,rewrite,3VELCLL3GKJ0UN4I8R39TIA7U9HF1Ab,3b,
3163,Today there are a great number of tasks that my commander has on his agenda.,rewrite,3VELCLL3GKJ0UN4I8R39TIA7U9HF1Ac,3c,
3164,I'm not at liberty to discuss.,rewrite,3C2NJ6JBKAHJ70ZVPJM066TLO5KN27a,3a,
3165,I assure you he takes this matter seriously but another mission was more time sensitive.,rewrite,3C2NJ6JBKAHJ70ZVPJM066TLO5KN27b,3b,
3166,He is not available to meet today.,rewrite,3C2NJ6JBKAHJ70ZVPJM066TLO5KN27c,3c,
3167,He can't make it because he had unexpected business.,rewrite,3IUZPWIU1O74BACZ6QJR2LS6YHJKWQa,3a,
3168,"Unfortunately, he had unexpected urgent business that need to be handled in a timely manner. ",rewrite,3IUZPWIU1O74BACZ6QJR2LS6YHJKWQb,3b,
3169,He is busy today and had unexpected business that came up.,rewrite,3IUZPWIU1O74BACZ6QJR2LS6YHJKWQc,3c,
3170,I'm not at liberty to say.,rewrite,3LJ7UR74RHDTAEEITX5OZLQJ8KGN45a,3a,
3171,I'm sorry but he was called away unexpectedly.,rewrite,3LJ7UR74RHDTAEEITX5OZLQJ8KGN45b,3b,
3172,I apologize but he is unavailable at the moment.,rewrite,3LJ7UR74RHDTAEEITX5OZLQJ8KGN45c,3c,
3173,I prefer not to divulge that information right now.,rewrite,3Q5ZZ9ZEVOFQ3QVE10ZFMG62JKE584a,3a,
3174,The commander was regrettably assigned to another mission; thus he's unable to attend today's meeting with you.,rewrite,3Q5ZZ9ZEVOFQ3QVE10ZFMG62JKE584b,3b,
3175,The commander is preoccupied with other matters today.,rewrite,3Q5ZZ9ZEVOFQ3QVE10ZFMG62JKE584c,3c,
3176,I'm not in a position to voice.,rewrite,3I02618YA06SUXKAOI9YGET87C6PURa,3a,
3177,"Regrettably, unforeseen events caused his absenteeism.",rewrite,3I02618YA06SUXKAOI9YGET87C6PURb,3b,
3178,He is currently occupied.,rewrite,3I02618YA06SUXKAOI9YGET87C6PURc,3c,
3179,I would not tell you.,rewrite,3F1567XTNW5FAHXMQKTWKNW4ZMBQ9Ja,3a,
3180,"I'm sorry, he was sent elsewhere and can't be here right now.",rewrite,3F1567XTNW5FAHXMQKTWKNW4ZMBQ9Jb,3b,
3181,He is busy right now.,rewrite,3F1567XTNW5FAHXMQKTWKNW4ZMBQ9Jc,3c,
3182,I'd prefer not to say,rewrite,3KKG4CDWKIY8LCAOSNMJHKVZ3UU94La,3a,
3183,"Sadly, he was put on another mission last minute and is unable to make it today",rewrite,3KKG4CDWKIY8LCAOSNMJHKVZ3UU94Lb,3b,
3184,He is occupied today,rewrite,3KKG4CDWKIY8LCAOSNMJHKVZ3UU94Lc,3c,
3185,I don't want to discuss it.,rewrite,3PEIJLRY6TTAVAB659YGSF08UQUWXNa,3a,
3186,I'm sorry but he won't make it today because he was assigned somewhere else last-minute.,rewrite,3PEIJLRY6TTAVAB659YGSF08UQUWXNb,3b,
3187,He is tied up elsewhere today.,rewrite,3PEIJLRY6TTAVAB659YGSF08UQUWXNc,3c,
3188,I'm not comfortable saying it.,rewrite,3QY5DC2MXRKG3KVGAFDT4KF455KUFSa,3a,
3189,"Sorry to say, but he was assigned another mission at the last minute and won't be able to make it today.",rewrite,3QY5DC2MXRKG3KVGAFDT4KF455KUFSb,3b,
3190,He is occupied today,rewrite,3QY5DC2MXRKG3KVGAFDT4KF455KUFSc,3c,
3191,I don't want to say.,rewrite,34BBWHLWHABD5FMB6NYFP5DT6DCIWVa,3a,
3192,"He is currently out on another mission today and will not be able to make it, unfortunately.",rewrite,34BBWHLWHABD5FMB6NYFP5DT6DCIWVb,3b,
3193,He is indisposed today.,rewrite,34BBWHLWHABD5FMB6NYFP5DT6DCIWVc,3c,
3194,"My apologies, but I cannot currently tell you what supplies we are bringing, as it is up in the air. You will hear at the meeting.",feedback,31UV0MXWNQCJSW7RAMB6Z50GMJEI5Qa,4a,
3195,"I don't completely know yet as the supplies are currently undecided and the info will be hard to find, but if you absolutely need to know I will give thoughts.",feedback,31UV0MXWNQCJSW7RAMB6Z50GMJEI5Qb,4b,
3196,We'll learn at the meeting.,feedback,31UV0MXWNQCJSW7RAMB6Z50GMJEI5Qc,4c,
3197,"Unfortunately, I am unable to provide you with that information at this time.",feedback,33SA9F9TRXU1PAKPA48O4QF1EK6EWJa,4a,
3198,"If you honestly need the information, I can tell you. But it would really put me in a compromising position.",feedback,33SA9F9TRXU1PAKPA48O4QF1EK6EWJb,4b,
3199,That information is on a need to know basis.,feedback,33SA9F9TRXU1PAKPA48O4QF1EK6EWJc,4c,
3200,"I understand why you would wonder, but I don't think that's something you need to know.",feedback,35USIKEBNRG7P1IWCLY3WJAX4CC6N1a,4a,
3201,"I've been told not to share this information, but I could be persuaded to do so.",feedback,35USIKEBNRG7P1IWCLY3WJAX4CC6N1b,4b,
3202,That's not something you need to know.,feedback,35USIKEBNRG7P1IWCLY3WJAX4CC6N1c,4c,
3203,"I understand you would like to know our supply situation, it would help you, but I can't give you that information now.",feedback,37WLF8U1WPQ6HVXTF86N4RTTAFGK6Fa,4a,
3204,"I'm sorry sir, I would tell you if I could but my superiors would be very upset if I gave away that information.",feedback,37WLF8U1WPQ6HVXTF86N4RTTAFGK6Fb,4b,
3205,I'm not giving you that information.,feedback,37WLF8U1WPQ6HVXTF86N4RTTAFGK6Fc,4c,
3206,"I totally understand your concerns, and I appreciate your desire to know what supplies we will be bringing, but we cannot commit it at this time. Thank you.",feedback,39GXDJN2OTE71KAT7RHSQE01W968V6a,4a,
3207,"Thank you for expressing your eagerness to know what supplies we will be bringing, I wish it were a little bit easier to divulge that piece of information. Anyways, I will give you the information.",feedback,39GXDJN2OTE71KAT7RHSQE01W968V6b,4b,
3208,"I'm sorry, I will not be providing you with that information at this time. Thank you.",feedback,39GXDJN2OTE71KAT7RHSQE01W968V6c,4c,
3209,"I know the personnel change has thrown you off today and you are eager to start the mission, but I will have to give you the details of the supplies at this afternoon's meeting.",feedback,39N5ACM9HENUA5W7Q7E7KI6UUQN9P9a,4a,
3210,"I really should not give you this information, but I know you are trying to do your honorable job, so I will give you the information.",feedback,39N5ACM9HENUA5W7Q7E7KI6UUQN9P9b,4b,
3211,"I can't give you the information now. You will get the information at this afternoon's meeting, just like everyone else.",feedback,39N5ACM9HENUA5W7Q7E7KI6UUQN9P9c,4c,
3212,"I understand that this information could be helpful, but I cannot discuss it until the breif.",feedback,3CP1TO84PT1FHBTPLJQECPTZXL252Ja,4a,
3213,"If this is very important and cannot wait, I can try to get the information.",feedback,3CP1TO84PT1FHBTPLJQECPTZXL252Jb,4b,
3214,No.,feedback,3CP1TO84PT1FHBTPLJQECPTZXL252Jc,4c,
3215,"I understand your need to learn of the supplies we will be bringing, however I cannot provide the information at this time because we will be covering this in a meeting this afternoon.",feedback,3DPNQGW4LLFL3T8QUGJ7XA4XDVF644a,4a,
3216,"Unfortunately, this information is not ready available to me because we will be discussing it in a meeting later, however if you do require it now, I can see what I can do.",feedback,3DPNQGW4LLFL3T8QUGJ7XA4XDVF644b,4b,
3217,I don't have that information.,feedback,3DPNQGW4LLFL3T8QUGJ7XA4XDVF644c,4c,
3218,"Commander, I fully appreciate your desire to know about the supplies, however I am unable to give you that information at this time. ",feedback,3EWIJTFFVO78HKJ4HXF3XV6XDGTE0La,4a,
3219,"With all due respect, Sir, now is not the optimal time to impart that information. ",feedback,3EWIJTFFVO78HKJ4HXF3XV6XDGTE0Lb,4b,
3220,I'm afraid I can't tell you that sir,feedback,3EWIJTFFVO78HKJ4HXF3XV6XDGTE0Lc,4c,
3221,"Sorry, I understand it's important to you, but I'm not really authorized to tell you that.",feedback,3G2UL9A02DEIMGQ9WEHE0MO74VL670a,4a,
3222,"If you really need to know what we're bringing, I'll tell you, but it's going to have to wait until I clear it with the rest of the team.",feedback,3G2UL9A02DEIMGQ9WEHE0MO74VL670b,4b,
3223,"Don't worry about it, we wont forget anything.",feedback,3G2UL9A02DEIMGQ9WEHE0MO74VL670c,4c,
3224,"Sir, I understand that information about our supplies is important to you. I regret to inform you that I can not provide that information at this time. ",feedback,3JC6VJ2SABJ4MEOTYYJTI7CX9AUA5Xa,4a,
3225,"That information is available at this time. But, Commander sir, if it is vital to the success of the mission I will relinquish the information to you.",feedback,3JC6VJ2SABJ4MEOTYYJTI7CX9AUA5Xb,4b,
3226,I am not at liberty to release that information to you Commander.,feedback,3JC6VJ2SABJ4MEOTYYJTI7CX9AUA5Xc,4c,
3227,"I understand why you want to know, but I cannot and will not tell you that now.",feedback,3KV0LJBBH2LUT2VGS8M1UZCTV9RRMVa,4a,
3228,"I realize that you need this information and while I am very reluctant to do so, I will tell you.",feedback,3KV0LJBBH2LUT2VGS8M1UZCTV9RRMVb,4b,
3229,Absolutely not. I'll tell you nothing.,feedback,3KV0LJBBH2LUT2VGS8M1UZCTV9RRMVc,4c,
3230,"I understand your interest, but I can't divulge that right now.",feedback,3OB0CAO74HPHYP6RF6YIAQXUH9LYH7a,4a,
3231,"If it's really necessary to know, it will take a significant amount of time to gather the information.",feedback,3OB0CAO74HPHYP6RF6YIAQXUH9LYH7b,4b,
3232,I can't say.,feedback,3OB0CAO74HPHYP6RF6YIAQXUH9LYH7c,4c,
3233,"My apologies commander, but I am still deciding what supplies my team will bring.",feedback,3OLF68YTN91WOBHI4AW24J3AY2SFA1a,4a,
3234,"We are still working on that decision, but we can do our best to speed up the process if you really need it.",feedback,3OLF68YTN91WOBHI4AW24J3AY2SFA1b,4b,
3235,We have not decided yet. You'll know when we decide to tell you.,feedback,3OLF68YTN91WOBHI4AW24J3AY2SFA1c,4c,
3236,"I thought you may ask that.  Unfortunately, we will not have them today.",feedback,3R5F3LQFV2KRVW2JF5VR863XZOFZOXa,4a,
3237,"I could give you that information, but my commander would not appreciate that.",feedback,3R5F3LQFV2KRVW2JF5VR863XZOFZOXb,4b,
3238,"No, we can not supply this for you.",feedback,3R5F3LQFV2KRVW2JF5VR863XZOFZOXc,4c,
3239,I understand but I will not do it.,feedback,3TMFV4NEP8EKG9AYX1MOCGJF3HQ8WWa,4a,
3240,Another time if that is okay.,feedback,3TMFV4NEP8EKG9AYX1MOCGJF3HQ8WWb,4b,
3241,We will bring it when we want to.,feedback,3TMFV4NEP8EKG9AYX1MOCGJF3HQ8WWc,4c,
3242,"I understand, but unfortunately we can not supply you with that information at the moment.",feedback,3V0Z7YWSIY0WF584RA8RGNNYAA8V2Ma,4a,
3243,"If it is necessary that you need that information, we can give it to you; but this moment is inconvenient. ",feedback,3V0Z7YWSIY0WF584RA8RGNNYAA8V2Mb,4b,
3244,We will supply you with that information soon enough.,feedback,3V0Z7YWSIY0WF584RA8RGNNYAA8V2Mc,4c,
3245,I understand that you want to know this but I can not tell you this,feedback,3XUHV3NRVKYJW1W744TLZTZ1M3G5HVa,4a,
3246,I am not allowed to say but if you truly need this information I will give you it,feedback,3XUHV3NRVKYJW1W744TLZTZ1M3G5HVb,4b,
3247,Sorry I cannot say you are not important enough,feedback,3XUHV3NRVKYJW1W744TLZTZ1M3G5HVc,4c,
3248,I understand your curiosity but I cannot give you that information right now.,feedback,3XUHV3NRVKYJW1W744TLZTZ1M3U5H9a,4a,
3249,"Sure, I understand your concern but I simply don't have the information at this time and it would be difficult to get",feedback,3XUHV3NRVKYJW1W744TLZTZ1M3U5H9b,4b,
3250,We can't disclose that at this time.,feedback,3XUHV3NRVKYJW1W744TLZTZ1M3U5H9c,4c,
3251,"I understand your desire to know details, but I feel that it will be best to discuss this at a later time.",feedback,3Y5140Z9DXGNL6PAU1KKXB5XDGGIP7a,4a,
3252,"If you must know the details now, we can go through them, but I feel that it would be best to save that for later.",feedback,3Y5140Z9DXGNL6PAU1KKXB5XDGGIP7b,4b,
3253,We will discuss that later.,feedback,3Y5140Z9DXGNL6PAU1KKXB5XDGGIP7c,4c,
3254,"I understand your team's desire to know what kinds of supplies we'll be bringing. However, please understand that I'm currently unable to disclose that information.",feedback,3YMTUJH0DSGR5RJ2QTR08KWBX174TQa,4a,
3255,"Sir, I value you and your team's concern. Rest assured that I will do my best to provide you with that information as soon as possible.",feedback,3YMTUJH0DSGR5RJ2QTR08KWBX174TQb,4b,
3256,What? No. Later.,feedback,3YMTUJH0DSGR5RJ2QTR08KWBX174TQc,4c,
3257,"I understand your desire to be prepared, but I am not able to relay that information at this time. ",feedback,3YW4XOSQKQLPD5183GY8FIBA4VQU1Ga,4a,
3258,"While I understand your desire for this information, would it suffice to discuss it at a later time?",feedback,3YW4XOSQKQLPD5183GY8FIBA4VQU1Gb,4b,
3259,I am not able to answer that now.,feedback,3YW4XOSQKQLPD5183GY8FIBA4VQU1Gc,4c,
3260,"I understand your need for the information, but I have not finalized the list as of yet.",feedback,3YWRV122CSZ7O5LT217NUSYII1XU81a,4a,
3261,"I am sorry for the delay, but I do not have the list at the moment.  ",feedback,3YWRV122CSZ7O5LT217NUSYII1XU81b,4b,
3262,We will cover the list of supplies in the meeting this afternoon.,feedback,3YWRV122CSZ7O5LT217NUSYII1XU81c,4c,
3263,"I assure you, I will relay all of these details to you after our brief this afternoon so you may prepare your team. ",rewrite,31HQ4X3T3SAMOZD87LLRKW20H5ASL6a,4a,
3264,May I get back to you on that until we conclude our mission brief? I'm currently preparing for it. ,rewrite,31HQ4X3T3SAMOZD87LLRKW20H5ASL6b,4b,
3265,I don't want to mislead you with false information as none of the details have been finalized yet.,rewrite,31HQ4X3T3SAMOZD87LLRKW20H5ASL6c,4c,
3266,"I understand your concern. Once we have our afternoon brief, you will get all the supplies you requested.",rewrite,326O153BMIY2G4KYT93YC2QG74ZDE8a,4a,
3267,Is it okay to wait until the actual brief? I'm still working on getting everything together.,rewrite,326O153BMIY2G4KYT93YC2QG74ZDE8b,4b,
3268,I can't give you much information now because many details still must be decided.,rewrite,326O153BMIY2G4KYT93YC2QG74ZDE8c,4c,
3269,When we meet together this afternoon I will disclose all the information.,rewrite,32N49TQG3GILK8384P16M56WMWIVA7a,4a,
3270,I am getting ready right now but will be providing all the information you need at the meeting.,rewrite,32N49TQG3GILK8384P16M56WMWIVA7b,4b,
3271,As soon as the plans are complete I will share it with you.,rewrite,32N49TQG3GILK8384P16M56WMWIVA7c,4c,
3272,"I respect how much your team means to you. When we're done with this afternoon's brief, I'll send you all the supplies.",rewrite,33F859I566DLLHDG5EKY2FZTWZRBHRa,4a,
3273,I'm a bit preoccupied at the moment with the preparations. Could we please postpone it after the actual mission brief?,rewrite,33F859I566DLLHDG5EKY2FZTWZRBHRb,4b,
3274,"We haven't finalized the details yet, so I can't guarantee that you'll find it useful.",rewrite,33F859I566DLLHDG5EKY2FZTWZRBHRc,4c,
3275,"We will be having a briefing this afternoon, but in the meantime, I'd like to take the opportunity to thank you for taking care of your team.",rewrite,34MAJL3QP4NM6AL8BEL9Q7SD32034Ea,4a,
3276,"I understand you have some questions and concerns, which I'm happy to answer you very soon once the briefing starts. That is what I am trying to prepare myself for right now.",rewrite,34MAJL3QP4NM6AL8BEL9Q7SD32034Eb,4b,
3277,I'd rather not give out too many details since everything has not been finalized. I do not want to misinform you.,rewrite,34MAJL3QP4NM6AL8BEL9Q7SD32034Ec,4c,
3278,"Im glad you are caring for your team, but we will deal with it in the afternoon",rewrite,3570Y55XZPJ3YTBGV0G0PQLT28SYGQa,4a,
3279,Can we wait till the briefing? I am getting ready now.,rewrite,3570Y55XZPJ3YTBGV0G0PQLT28SYGQb,4b,
3280,"It has not been worked out, so I dont know if it will be helpful for you yet",rewrite,3570Y55XZPJ3YTBGV0G0PQLT28SYGQc,4c,
3281,I understand your concern for your team.  You will have all the information this afternoon at the brief.,rewrite,37QW5D2ZRGMR9STPDWCNFRGUX598SYa,4a,
3282,Can this wait until I brief you on the mission.  I am in the process of preparing for the brief now.,rewrite,37QW5D2ZRGMR9STPDWCNFRGUX598SYb,4b,
3283,"I don't think that it would be beneficial to you now, since I haven't finalized the details yet.",rewrite,37QW5D2ZRGMR9STPDWCNFRGUX598SYc,4c,
3284,"I like that you're looking out for your team, but you'll get everything when we brief you this afternoon.",rewrite,386CSBG1OZMSSYVOSDQK0D529L0Q65a,4a,
3285,Could this wait until the actual mission brief? I'm trying to finish getting ready.,rewrite,386CSBG1OZMSSYVOSDQK0D529L0Q65b,4b,
3286,The details haven't been finalized so I don't know if that will help you now.,rewrite,386CSBG1OZMSSYVOSDQK0D529L0Q65c,4c,
3287,"I appreciate your interest, but I am unable to sufficiently answer this until I gather more information to present after the meeting this afternoon.",rewrite,39LOEL67OS5NPB8ANHBM7J8I5OD382a,4a,
3288,"I would like to respectfully request that I refrain from speaking on it now, but will be happy to inform you after the meeting I am preparing for.",rewrite,39LOEL67OS5NPB8ANHBM7J8I5OD382b,4b,
3289,"At this present time, the information is not complete, and I would be very hesitant to give you incomplete and possible wrong information.",rewrite,39LOEL67OS5NPB8ANHBM7J8I5OD382c,4c,
3290,This afternoon we will have a brief and I am glad that you are caring for your team.,rewrite,39RP059MEHT7DVERWB0BUK7PDLXMBIa,4a,
3291,I am occupied as of now. Hopefully the brief can wait?,rewrite,39RP059MEHT7DVERWB0BUK7PDLXMBIb,4b,
3292,The details aren't finished and completed yet. I don't think they will help at the moment.,rewrite,39RP059MEHT7DVERWB0BUK7PDLXMBIc,4c,
3293,"I understand that you have to look out for your team, but I can't give you all the supplies until this afternoon's briefing.",rewrite,3A4NIXBJ76ZJQ403NOP58N3UPGOLMJa,4a,
3294,Would it be OK if we put this off until the actual mission briefing? Right now I am busy preparing myself for that.,rewrite,3A4NIXBJ76ZJQ403NOP58N3UPGOLMJb,4b,
3295,I don't believe it would help you right now because there are still some details we have to iron out.,rewrite,3A4NIXBJ76ZJQ403NOP58N3UPGOLMJc,4c,
3296,"I am grateful you looked our for the team, you will get it soon during the afternoon brief.",rewrite,3AWETUDC92SHZARGHAIMO97BNFMZI8a,4a,
3297,"Lets wait till the actual mission brief, if that is okay with you? Right now, I am busy getting everything in order.",rewrite,3AWETUDC92SHZARGHAIMO97BNFMZI8b,4b,
3298,"Nothing has been finalized, so I won't be any help to you right now.",rewrite,3AWETUDC92SHZARGHAIMO97BNFMZI8c,4c,
3299,"I'm grateful for you trying to help your group, but we will learn all of the info when we have the meeting later today.",rewrite,3AWETUDC92SHZARGHAIMO97BNGNIZUa,4a,
3300,Is it okay if you wait for the info until the meeting? I'm taking my time to prepare for it right now.,rewrite,3AWETUDC92SHZARGHAIMO97BNGNIZUb,4b,
3301,"Not everything about the supply information has been fully fleshed out yet, so I'm unsure if any info I give you would help you at all.",rewrite,3AWETUDC92SHZARGHAIMO97BNGNIZUc,4c,
3302,"I am thankful to you for looking out for what's in the best interest of your team, but it will all get to you soon, this afternoon when we have the briefing.",rewrite,3C2NJ6JBKAHJ70ZVPJM066TLO6C2NGa,4a,
3303,Do you mind having this wait until the actual mission brief? I'm presently preoccupied with preparing for it.,rewrite,3C2NJ6JBKAHJ70ZVPJM066TLO6C2NGb,4b,
3304,"I'm uncertain if it would be of any relevance to you, considering the fact that all the details are yet to be finalized.",rewrite,3C2NJ6JBKAHJ70ZVPJM066TLO6C2NGc,4c,
3305,"I appreciate your concern, but you will receive the information at the brief.",rewrite,3EG49X351UCC1VW0ERLCUL1V6OV6XQa,4a,
3306,Is it ok if we discuss this later? I am preparing for the brief right now.,rewrite,3EG49X351UCC1VW0ERLCUL1V6OV6XQb,4b,
3307,I cannot answer your questions until the details have been finalized.,rewrite,3EG49X351UCC1VW0ERLCUL1V6OV6XQc,4c,
3308,"I understand your concern, and I assure you that you will receive all the supplies this afternoon after we obtain the brief.",rewrite,3ERMJ6L4DYSKBJB1JUOVPILTUWHM79a,4a,
3309,"Since I'm busy getting ready for it, do you mind if we put this aside until the mission brief arrives?",rewrite,3ERMJ6L4DYSKBJB1JUOVPILTUWHM79b,4b,
3310,I don't have enough information yet so nothing I tell you will be helpful.,rewrite,3ERMJ6L4DYSKBJB1JUOVPILTUWHM79c,4c,
3311,"It’s good you are looking out for your platoon, we'll have all the information for you after our meeting this afternoon.",rewrite,3EWIJTFFVO78HKJ4HXF3XV6XDF1E0Ra,4a,
3312,"I'm a little tied up right now, sir, We'll be covering this later during our mission brief if it can wait till then.",rewrite,3EWIJTFFVO78HKJ4HXF3XV6XDF1E0Rb,4b,
3313,"I can't answer that yet, at least in a helpful way.  The details aren't finalized yet.",rewrite,3EWIJTFFVO78HKJ4HXF3XV6XDF1E0Rc,4c,
3314,"Thank you for looking out for your team, however, you will have to wait for the brief this afternoon.",rewrite,3FE2ERCCZX8XHS0DSWXPH81JPQZPOVa,4a,
3315,"I'm busy getting ready, is it alright if this waits for the mission brief?",rewrite,3FE2ERCCZX8XHS0DSWXPH81JPQZPOVb,4b,
3316,I'm not sure this will help because not all the details have been finalized.,rewrite,3FE2ERCCZX8XHS0DSWXPH81JPQZPOVc,4c,
3317,"While I appreciate your team concern, you will get it this afternoon during the brief.",rewrite,3GD6L00D3SX60XWZUE7MO8UGR91M1Ua,4a,
3318,"Is this an emergency, or can it wait until the actual brief? I'm a little preoccupied preparingat the moment.",rewrite,3GD6L00D3SX60XWZUE7MO8UGR91M1Ub,4b,
3319,Nothing has been finalized so it likely wouldn't help you any.,rewrite,3GD6L00D3SX60XWZUE7MO8UGR91M1Uc,4c,
